person|country|tagClass|minPathDistance|maxPathDistance
24189255818806|Philippines|MusicalArtist|4|7
19791209310757|Philippines|MusicalArtist|4|8
2199023262614|Philippines|MusicalArtist|5|7
3192|Philippines|MusicalArtist|5|8
8839|Philippines|MusicalArtist|6|8
998|Philippines|OfficeHolder|3|5
26388279076374|Philippines|OfficeHolder|3|6
4398046513827|Philippines|OfficeHolder|3|7
24189255811776|Philippines|OfficeHolder|3|8
32985348843287|Philippines|OfficeHolder|4|6
8796093030370|Philippines|OfficeHolder|4|7
15393162793546|Philippines|OfficeHolder|4|8
28587302326595|Philippines|OfficeHolder|5|7
30786325585782|Philippines|OfficeHolder|5|8
15393162798261|Philippines|OfficeHolder|6|8
4398046516316|Philippines|Writer|3|5
30786325583440|Philippines|Writer|3|6
26388279073805|Philippines|Writer|3|7
10995116286155|Philippines|Writer|3|8
19791209309027|Philippines|Writer|4|6
17592186053089|Philippines|Writer|4|7
4398046515211|Philippines|Writer|4|8
10995116283851|Philippines|Writer|5|7
28587302330345|Philippines|Writer|5|8
3991|Philippines|Writer|6|8
21990232564300|Philippines|BritishRoyalty|3|5
17592186047354|Philippines|BritishRoyalty|3|6
24189255814729|Philippines|BritishRoyalty|3|7
13194139543017|Philippines|BritishRoyalty|3|8
24189255815710|Philippines|BritishRoyalty|4|6
8796093031818|Philippines|BritishRoyalty|4|7
8796093030157|Philippines|BritishRoyalty|4|8
19791209302645|Philippines|BritishRoyalty|5|7
21990232561838|Philippines|BritishRoyalty|5|8
26388279075618|Philippines|BritishRoyalty|6|8
32985348836491|Vietnam|MusicalArtist|3|5
4398046520495|Vietnam|MusicalArtist|3|6
24189255813022|Vietnam|MusicalArtist|3|7
28587302326592|Vietnam|MusicalArtist|3|8
4398046515029|Vietnam|MusicalArtist|4|6
13194139537576|Vietnam|MusicalArtist|4|7
19791209307492|Vietnam|MusicalArtist|4|8
28587302332049|Vietnam|MusicalArtist|5|7
15393162789760|Vietnam|MusicalArtist|5|8
26388279071172|Vietnam|MusicalArtist|6|8
21990232565317|Vietnam|OfficeHolder|3|5
21990232565317|Vietnam|OfficeHolder|3|6
26388279072087|Vietnam|OfficeHolder|3|7
28587302327655|Vietnam|OfficeHolder|3|8
30786325584912|Vietnam|OfficeHolder|4|6
24189255816675|Vietnam|OfficeHolder|4|7
30786325578794|Vietnam|OfficeHolder|4|8
2199023263330|Vietnam|OfficeHolder|5|7
13194139543530|Vietnam|OfficeHolder|5|8
17592186047563|Vietnam|OfficeHolder|6|8
8799|Vietnam|Writer|3|5
26388279075047|Vietnam|Writer|3|6
8796093027951|Vietnam|Writer|3|7
28587302325292|Vietnam|Writer|3|8
10995116282824|Vietnam|Writer|4|6
2199023256524|Vietnam|Writer|4|7
6597069769386|Vietnam|Writer|4|8
8796093023199|Vietnam|Writer|5|7
30786325587797|Vietnam|Writer|5|8
5835|Vietnam|Writer|6|8
2199023262712|Vietnam|BritishRoyalty|3|5
1509|Vietnam|BritishRoyalty|3|6
32985348838416|Vietnam|BritishRoyalty|3|7
19791209306659|Vietnam|BritishRoyalty|3|8
21990232559368|Vietnam|BritishRoyalty|4|6
10995116287751|Vietnam|BritishRoyalty|4|7
26388279076351|Vietnam|BritishRoyalty|4|8
15393162796552|Vietnam|BritishRoyalty|5|7
17592186044810|Vietnam|BritishRoyalty|5|8
21990232565719|Vietnam|BritishRoyalty|6|8
28587302328983|Mexico|MusicalArtist|3|5
2199023255798|Mexico|MusicalArtist|3|6
13194139538142|Mexico|MusicalArtist|3|7
13194139543105|Mexico|MusicalArtist|3|8
17592186053049|Mexico|MusicalArtist|4|6
17592186051653|Mexico|MusicalArtist|4|7
8796093028825|Mexico|MusicalArtist|4|8
21990232562562|Mexico|MusicalArtist|5|7
24189255811315|Mexico|MusicalArtist|5|8
17592186045862|Mexico|MusicalArtist|6|8
6597069768646|Mexico|OfficeHolder|3|5
15393162794035|Mexico|OfficeHolder|3|6
21990232555531|Mexico|OfficeHolder|3|7
26388279073731|Mexico|OfficeHolder|3|8
30786325577960|Mexico|OfficeHolder|4|6
21990232559433|Mexico|OfficeHolder|4|7
15393162793358|Mexico|OfficeHolder|4|8
17592186052380|Mexico|OfficeHolder|5|7
26388279069006|Mexico|OfficeHolder|5|8
6597069770194|Mexico|OfficeHolder|6|8
19791209300159|Mexico|Writer|3|5
30786325584420|Mexico|Writer|3|6
26388279072775|Mexico|Writer|3|7
28587302326571|Mexico|Writer|3|8
4398046518506|Mexico|Writer|4|6
26388279068635|Mexico|Writer|4|7
8796093028035|Mexico|Writer|4|8
19791209303757|Mexico|Writer|5|7
6597069774241|Mexico|Writer|5|8
21990232559581|Mexico|Writer|6|8
17592186054422|Mexico|BritishRoyalty|3|5
8796093027864|Mexico|BritishRoyalty|3|6
24189255812246|Mexico|BritishRoyalty|3|7
24189255813658|Mexico|BritishRoyalty|3|8
21990232565361|Mexico|BritishRoyalty|4|6
21990232557814|Mexico|BritishRoyalty|4|7
17592186053211|Mexico|BritishRoyalty|4|8
28587302332683|Mexico|BritishRoyalty|5|7
13194139541496|Mexico|BritishRoyalty|5|8
30786325582323|Mexico|BritishRoyalty|6|8
17592186048147|Indonesia|MusicalArtist|3|5
35184372090183|Indonesia|MusicalArtist|3|6
21990232563014|Indonesia|MusicalArtist|3|7
13194139533331|Indonesia|MusicalArtist|3|8
13194139537366|Indonesia|MusicalArtist|4|6
26388279070479|Indonesia|MusicalArtist|4|7
15393162794295|Indonesia|MusicalArtist|4|8
6597069771482|Indonesia|MusicalArtist|5|7
15393162793510|Indonesia|MusicalArtist|5|8
8796093033050|Indonesia|MusicalArtist|6|8
4398046519109|Indonesia|OfficeHolder|3|5
6597069773744|Indonesia|OfficeHolder|3|6
26388279072775|Indonesia|OfficeHolder|3|7
30786325584895|Indonesia|OfficeHolder|3|8
21990232558064|Indonesia|OfficeHolder|4|6
10995116285219|Indonesia|OfficeHolder|4|7
10995116284617|Indonesia|OfficeHolder|4|8
2199023259523|Indonesia|OfficeHolder|5|7
19791209304147|Indonesia|OfficeHolder|5|8
28587302324474|Indonesia|OfficeHolder|6|8
35184372089323|Indonesia|Writer|3|5
17592186050123|Indonesia|Writer|3|6
13194139535703|Indonesia|Writer|3|7
19791209304700|Indonesia|Writer|3|8
6597069776150|Indonesia|Writer|4|6
6225|Indonesia|Writer|4|7
17592186045549|Indonesia|Writer|4|8
13194139538142|Indonesia|Writer|5|7
7011|Indonesia|Writer|5|8
28587302329064|Indonesia|Writer|6|8
17592186047115|Indonesia|BritishRoyalty|3|5
15393162798294|Indonesia|BritishRoyalty|3|6
24189255818240|Indonesia|BritishRoyalty|3|7
2199023264838|Indonesia|BritishRoyalty|3|8
4398046521818|Indonesia|BritishRoyalty|4|6
8796093032875|Indonesia|BritishRoyalty|4|7
8909|Indonesia|BritishRoyalty|4|8
32985348843084|Indonesia|BritishRoyalty|5|7
10995116280838|Indonesia|BritishRoyalty|5|8
21990232564040|Indonesia|BritishRoyalty|6|8
24189255817669|United_States|MusicalArtist|3|5
4398046519418|United_States|MusicalArtist|3|6
19791209301139|United_States|MusicalArtist|3|7
8389|United_States|MusicalArtist|3|8
10995116285321|United_States|MusicalArtist|4|6
15393162793271|United_States|MusicalArtist|4|7
6949|United_States|MusicalArtist|4|8
13194139536331|United_States|MusicalArtist|5|7
8796093028693|United_States|MusicalArtist|5|8
28587302331153|United_States|MusicalArtist|6|8
17592186046393|United_States|OfficeHolder|3|5
32985348834605|United_States|OfficeHolder|3|6
30786325583309|United_States|OfficeHolder|3|7
21990232556027|United_States|OfficeHolder|3|8
13194139533770|United_States|OfficeHolder|4|6
10995116281374|United_States|OfficeHolder|4|7
17592186051053|United_States|OfficeHolder|4|8
26388279073211|United_States|OfficeHolder|5|7
4398046512201|United_States|OfficeHolder|5|8
13194139541348|United_States|OfficeHolder|6|8
15393162796577|United_States|Writer|3|5
8796093029865|United_States|Writer|3|6
15393162797405|United_States|Writer|3|7
6597069773744|United_States|Writer|3|8
7173|United_States|Writer|4|6
2199023255558|United_States|Writer|4|7
10995116284594|United_States|Writer|4|8
19791209303109|United_States|Writer|5|7
24189255819297|United_States|Writer|5|8
13194139542544|United_States|Writer|6|8
30786325585625|United_States|BritishRoyalty|3|5
8403|United_States|BritishRoyalty|3|6
32985348835254|United_States|BritishRoyalty|3|7
28587302328880|United_States|BritishRoyalty|3|8
30786325580777|United_States|BritishRoyalty|4|6
6597069776133|United_States|BritishRoyalty|4|7
30786325583635|United_States|BritishRoyalty|4|8
8796093027161|United_States|BritishRoyalty|5|7
21990232561857|United_States|BritishRoyalty|5|8
32985348836120|United_States|BritishRoyalty|6|8
2199023260090|Brazil|MusicalArtist|3|5
17592186052759|Brazil|MusicalArtist|3|6
8796093024191|Brazil|MusicalArtist|3|7
21990232556410|Brazil|MusicalArtist|3|8
15393162799812|Brazil|MusicalArtist|4|6
21990232560428|Brazil|MusicalArtist|4|7
28587302328567|Brazil|MusicalArtist|4|8
30786325585788|Brazil|MusicalArtist|5|7
4398046511672|Brazil|MusicalArtist|5|8
4398046520753|Brazil|MusicalArtist|6|8
2199023264239|Brazil|OfficeHolder|3|5
24189255814174|Brazil|OfficeHolder|3|6
10995116280723|Brazil|OfficeHolder|3|7
17592186052987|Brazil|OfficeHolder|3|8
4398046515904|Brazil|OfficeHolder|4|6
13194139535700|Brazil|OfficeHolder|4|7
4398046511152|Brazil|OfficeHolder|4|8
24189255819338|Brazil|OfficeHolder|5|7
10995116278757|Brazil|OfficeHolder|5|8
30786325583772|Brazil|OfficeHolder|6|8
24189255819732|Brazil|Writer|3|5
13194139539713|Brazil|Writer|3|6
15393162798828|Brazil|Writer|3|7
28587302332884|Brazil|Writer|3|8
32985348835335|Brazil|Writer|4|6
4398046520765|Brazil|Writer|4|7
8796093029343|Brazil|Writer|4|8
13194139540856|Brazil|Writer|5|7
6597069772875|Brazil|Writer|5|8
1909|Brazil|Writer|6|8
30786325583204|Brazil|BritishRoyalty|3|5
21990232560957|Brazil|BritishRoyalty|3|6
17592186045408|Brazil|BritishRoyalty|3|7
21990232564619|Brazil|BritishRoyalty|3|8
24189255819499|Brazil|BritishRoyalty|4|6
32985348838025|Brazil|BritishRoyalty|4|7
5398|Brazil|BritishRoyalty|4|8
24189255818799|Brazil|BritishRoyalty|5|7
26388279071471|Brazil|BritishRoyalty|5|8
10995116280713|Brazil|BritishRoyalty|6|8
19791209304803|Japan|MusicalArtist|3|5
4398046514618|Japan|MusicalArtist|3|6
8796093030032|Japan|MusicalArtist|3|7
8796093027338|Japan|MusicalArtist|3|8
6597069770044|Japan|MusicalArtist|4|6
2199023259768|Japan|MusicalArtist|4|7
32985348841904|Japan|MusicalArtist|4|8
13194139538846|Japan|MusicalArtist|5|7
8796093031210|Japan|MusicalArtist|5|8
10995116281649|Japan|MusicalArtist|6|8
6597069773380|Japan|OfficeHolder|3|5
4398046515202|Japan|OfficeHolder|3|6
28587302324945|Japan|OfficeHolder|3|7
19791209302977|Japan|OfficeHolder|3|8
17592186046908|Japan|OfficeHolder|4|6
4398046514056|Japan|OfficeHolder|4|7
19791209310524|Japan|OfficeHolder|4|8
8796093025530|Japan|OfficeHolder|5|7
17592186048763|Japan|OfficeHolder|5|8
4398046513494|Japan|OfficeHolder|6|8
28587302325949|Japan|Writer|3|5
35184372099627|Japan|Writer|3|6
21990232557294|Japan|Writer|3|7
26388279067868|Japan|Writer|3|8
30786325585661|Japan|Writer|4|6
28587302328790|Japan|Writer|4|7
8796093027419|Japan|Writer|4|8
28587302332507|Japan|Writer|5|7
17592186053177|Japan|Writer|5|8
13194139538691|Japan|Writer|6|8
26388279072405|Japan|BritishRoyalty|3|5
15393162796310|Japan|BritishRoyalty|3|6
10995116278259|Japan|BritishRoyalty|3|7
19791209310730|Japan|BritishRoyalty|3|8
10995116285387|Japan|BritishRoyalty|4|6
21990232565924|Japan|BritishRoyalty|4|7
19791209304960|Japan|BritishRoyalty|4|8
24189255820240|Japan|BritishRoyalty|5|7
6597069771230|Japan|BritishRoyalty|5|8
10995116285222|Japan|BritishRoyalty|6|8
